status_pemeriksaan;durasi;sejarah_kredit;tujuan_kredit;jumlah kredit;status_tabungan;pekerjaan;komitmen_cicilan;status_pribadi;pihak_lain;lama_tinggal;nilai_properti;usia;rencana_pembayaran_lainnya;tempat_tinggal;kredit_yang_ada;pekerjaan;jumlah_tanggungan;memiliki_ponsel;pekerja_asing;kelas
<0;24;sebelumnya tertunda;radio/tv;1024;<100;<1;4;pria menikah/duda;tidak ada;4;perumahan;48;toko;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;berbayar yang ada;bisnis;1076;<100;1;2;pria menikah/duda;tidak ada;2;perumahan;26;tidak ada;milik sendiri;1;terampil;1;ya;tidak;baik
0<=X<200;36;berbayar yang ada;mobil bekas;9398;<100;<1;1;pria menikah/duda;tidak ada;4;mobil;28;tidak ada;sewa;1;kualifikasi tinggi;1;ya;ya;buruk
<0;24;kredit penting/kredit lainnya;mobil bekas;6419;<100;>=7;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;44;tidak ada;gratis;2;kualifikasi tinggi;2;ya;ya;baik
>=200;42;kredit penting/kredit lainnya;mobil bekas;4796;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;56;tidak ada;gratis;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;48;kredit penting/kredit lainnya;bisnis;7629;tidak diketahui;>=7;4;pria bercerai;tidak ada;2;mobil;46;bank;milik sendiri;2;kualifikasi tinggi;2;tidak;ya;baik
0<=X<200;48;berbayar yang ada;perabot/perlengkapan;9960;<100;<1;1;wanita bercerai/menikah;tidak ada;2;mobil;26;tidak ada;milik sendiri;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;12;berbayar yang ada;mobil bekas;4675;tidak diketahui;<1;1;wanita bercerai/menikah;tidak ada;4;mobil;20;tidak ada;sewa;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;10;berbayar yang ada;mobil baru;1287;tidak diketahui;>=7;4;pria lajang;pemohon bersama;2;asuransi jiwa;45;tidak ada;milik sendiri;1;tidak terampil;1;tidak;tidak;baik
tidak ada pemeriksaan;18;berbayar yang ada;perabot/perlengkapan;2515;<100;1;3;pria lajang;tidak ada;4;perumahan;43;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;21;kredit penting/kredit lainnya;perabot/perlengkapan;2745;>=1000;4;3;pria lajang;tidak ada;2;mobil;32;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;6;berbayar yang ada;mobil baru;672;<100;pengangguran;1;wanita bercerai/menikah;tidak ada;4;perumahan;54;tidak ada;milik sendiri;1;unemp/tidak terampil non res;1;ya;ya;baik
0<=X<200;36;tidak ada kredit/kredit lunas;radio/tv;3804;<100;1;4;wanita bercerai/menikah;tidak ada;1;mobil;42;tidak ada;milik sendiri;1;terampil;1;ya;ya;buruk
>=200;24;kredit penting/kredit lainnya;mobil baru;1344;tidak diketahui;4;4;pria lajang;tidak ada;2;perumahan;37;bank;milik sendiri;2;tidak terampil;2;tidak;ya;buruk
<0;10;kredit penting/kredit lainnya;mobil baru;1038;<100;4;4;pria lajang;pemohon bersama;3;asuransi jiwa;49;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;48;kredit penting/kredit lainnya;mobil baru;10127;500;1;2;pria lajang;tidak ada;2;tidak diketahui;44;bank;gratis;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;6;berbayar yang ada;perabot/perlengkapan;1543;>=1000;1;4;pria bercerai;tidak ada;2;perumahan;33;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;30;berbayar yang ada;mobil bekas;4811;tidak diketahui;4;2;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;24;toko;sewa;1;tidak terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;radio/tv;727;100;<1;4;pria menikah/duda;tidak ada;3;tidak diketahui;33;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;buruk
0<=X<200;8;berbayar yang ada;perabot/perlengkapan;1237;<100;1;3;wanita bercerai/menikah;tidak ada;4;perumahan;24;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
0<=X<200;9;berbayar yang ada;mobil baru;276;<100;1;4;pria menikah/duda;tidak ada;4;perumahan;22;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
0<=X<200;48;berbayar yang ada;lainnya;5381;tidak diketahui;pengangguran;3;pria lajang;tidak ada;4;tidak diketahui;40;bank;gratis;1;unemp/tidak terampil non res;1;ya;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;perabot/perlengkapan;5511;100;1;4;pria lajang;tidak ada;1;mobil;25;toko;milik sendiri;1;terampil;1;tidak;ya;baik
>=200;24;berbayar yang ada;perabot/perlengkapan;3749;<100;<1;2;wanita bercerai/menikah;tidak ada;4;mobil;26;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;mobil baru;685;<100;4;2;pria menikah/duda;tidak ada;3;mobil;25;bank;milik sendiri;1;tidak terampil;1;tidak;ya;buruk
>=200;4;berbayar yang ada;mobil baru;1494;tidak diketahui;<1;1;pria lajang;tidak ada;2;perumahan;29;tidak ada;milik sendiri;1;tidak terampil;2;tidak;tidak;baik
<0;36;lunas seluruhnya;perabot/perlengkapan;2746;<100;>=7;4;pria lajang;tidak ada;4;mobil;31;bank;milik sendiri;1;terampil;1;tidak;ya;buruk
<0;12;berbayar yang ada;perabot/perlengkapan;708;<100;1;2;pria lajang;penjamin;3;asuransi jiwa;38;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;baik
0<=X<200;24;berbayar yang ada;perabot/perlengkapan;4351;tidak diketahui;1;1;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;48;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;pendidikan;701;<100;1;4;pria lajang;tidak ada;2;mobil;32;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;15;sebelumnya tertunda;perabot/perlengkapan;3643;<100;>=7;1;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;27;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
0<=X<200;30;kredit penting/kredit lainnya;mobil baru;4249;<100;pengangguran;4;pria menikah/duda;tidak ada;2;mobil;28;tidak ada;milik sendiri;2;kualifikasi tinggi;1;tidak;ya;buruk
<0;24;berbayar yang ada;radio/tv;1938;<100;<1;4;pria bercerai;tidak ada;3;asuransi jiwa;32;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
<0;24;berbayar yang ada;mobil bekas;2910;<100;4;2;pria lajang;tidak ada;1;tidak diketahui;34;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;baik
<0;18;berbayar yang ada;perabot/perlengkapan;2659;>=1000;1;4;pria lajang;tidak ada;2;mobil;28;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;mobil baru;1028;<100;1;4;wanita bercerai/menikah;tidak ada;3;perumahan;36;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;8;kredit penting/kredit lainnya;mobil baru;3398;<100;4;1;pria lajang;tidak ada;4;perumahan;39;tidak ada;milik sendiri;2;tidak terampil;1;tidak;tidak;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;perabot/perlengkapan;5801;tidak diketahui;>=7;2;pria lajang;tidak ada;4;asuransi jiwa;49;tidak ada;sewa;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;mobil baru;1525;>=1000;4;4;wanita bercerai/menikah;tidak ada;3;mobil;34;tidak ada;milik sendiri;1;terampil;2;ya;ya;baik
>=200;36;berbayar yang ada;radio/tv;4473;<100;>=7;4;pria lajang;tidak ada;2;mobil;31;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;6;berbayar yang ada;radio/tv;1068;<100;>=7;4;pria lajang;tidak ada;4;mobil;28;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
<0;24;kredit penting/kredit lainnya;mobil bekas;6615;<100;pengangguran;2;pria lajang;tidak ada;4;tidak diketahui;75;tidak ada;gratis;2;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;pendidikan;1864;100;1;4;wanita bercerai/menikah;tidak ada;2;perumahan;30;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
0<=X<200;60;berbayar yang ada;mobil baru;7408;100;<1;4;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;24;tidak ada;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;buruk
tidak ada pemeriksaan;48;kredit penting/kredit lainnya;mobil bekas;11590;100;1;2;wanita bercerai/menikah;tidak ada;4;mobil;24;bank;sewa;2;tidak terampil;1;tidak;ya;buruk
<0;24;tidak ada kredit/kredit lunas;perabot/perlengkapan;4110;<100;>=7;3;pria lajang;tidak ada;4;tidak diketahui;23;bank;sewa;2;terampil;2;tidak;ya;buruk
<0;6;kredit penting/kredit lainnya;perabot/perlengkapan;3384;<100;1;1;pria bercerai;tidak ada;4;perumahan;44;tidak ada;sewa;1;kualifikasi tinggi;1;ya;ya;buruk
0<=X<200;13;berbayar yang ada;radio/tv;2101;<100;<1;2;wanita bercerai/menikah;penjamin;4;asuransi jiwa;23;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
<0;15;berbayar yang ada;peralatan rumah tangga;1275;tidak diketahui;1;4;wanita bercerai/menikah;tidak ada;2;mobil;24;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
<0;24;berbayar yang ada;perabot/perlengkapan;4169;<100;1;4;pria lajang;tidak ada;4;asuransi jiwa;28;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;10;berbayar yang ada;perabot/perlengkapan;1521;<100;1;4;pria bercerai;tidak ada;2;mobil;31;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;24;kredit penting/kredit lainnya;pendidikan;5743;<100;<1;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;24;tidak ada;gratis;2;terampil;1;ya;ya;baik
<0;21;berbayar yang ada;perabot/perlengkapan;3599;<100;4;1;wanita bercerai/menikah;tidak ada;4;mobil;26;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;radio/tv;3213;500;<1;1;pria menikah/duda;tidak ada;3;perumahan;25;tidak ada;sewa;1;terampil;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;bisnis;4439;<100;>=7;1;pria lajang;pemohon bersama;1;perumahan;33;bank;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
>=200;10;berbayar yang ada;mobil baru;3949;<100;<1;1;pria lajang;penjamin;1;asuransi jiwa;37;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;baik
tidak ada pemeriksaan;15;kredit penting/kredit lainnya;radio/tv;1459;<100;1;4;wanita bercerai/menikah;tidak ada;2;mobil;43;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;13;kredit penting/kredit lainnya;radio/tv;882;<100;<1;4;pria lajang;penjamin;4;perumahan;23;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;24;berbayar yang ada;radio/tv;3758;500;pengangguran;1;wanita bercerai/menikah;tidak ada;4;tidak diketahui;23;tidak ada;sewa;1;unemp/tidak terampil non res;1;tidak;ya;baik
tidak ada pemeriksaan;6;sebelumnya tertunda;bisnis;1743;100;1;1;pria lajang;tidak ada;2;perumahan;34;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
0<=X<200;9;kredit penting/kredit lainnya;pendidikan;1136;>=1000;>=7;4;pria lajang;tidak ada;3;tidak diketahui;32;tidak ada;gratis;2;terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;9;berbayar yang ada;peralatan rumah tangga;1236;<100;<1;1;wanita bercerai/menikah;tidak ada;4;perumahan;23;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;9;berbayar yang ada;perabot/perlengkapan;959;<100;1;1;wanita bercerai/menikah;tidak ada;2;mobil;29;tidak ada;milik sendiri;1;terampil;1;tidak;tidak;buruk
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;mobil bekas;3229;tidak diketahui;pengangguran;2;pria lajang;tidak ada;4;tidak diketahui;38;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
<0;12;tidak ada kredit/kredit lunas;radio/tv;6199;<100;1;4;pria lajang;tidak ada;2;asuransi jiwa;28;tidak ada;sewa;2;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;10;berbayar yang ada;pendidikan;727;500;>=7;4;pria lajang;tidak ada;4;tidak diketahui;46;tidak ada;gratis;1;terampil;1;ya;ya;baik
0<=X<200;24;berbayar yang ada;mobil baru;1246;<100;<1;4;pria lajang;tidak ada;2;perumahan;23;toko;milik sendiri;1;tidak terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;2331;tidak diketahui;>=7;1;pria lajang;pemohon bersama;4;perumahan;49;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;36;sebelumnya tertunda;radio/tv;4463;<100;1;4;pria lajang;tidak ada;2;mobil;26;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;776;<100;1;4;pria menikah/duda;tidak ada;2;perumahan;28;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;30;berbayar yang ada;perabot/perlengkapan;2406;<100;4;4;wanita bercerai/menikah;tidak ada;4;perumahan;23;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
0<=X<200;18;berbayar yang ada;pendidikan;1239;tidak diketahui;1;4;pria lajang;tidak ada;4;tidak diketahui;61;tidak ada;gratis;1;terampil;1;tidak;ya;baik
>=200;12;berbayar yang ada;radio/tv;3399;tidak diketahui;>=7;2;pria lajang;tidak ada;3;mobil;37;tidak ada;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
>=200;12;sebelumnya tertunda;mobil baru;2247;<100;1;2;wanita bercerai/menikah;tidak ada;2;mobil;36;toko;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;6;berbayar yang ada;perabot/perlengkapan;1766;<100;1;1;pria menikah/duda;tidak ada;2;asuransi jiwa;21;tidak ada;sewa;1;terampil;1;tidak;ya;baik
<0;18;berbayar yang ada;perabot/perlengkapan;2473;<100;pengangguran;4;pria lajang;tidak ada;1;mobil;25;tidak ada;milik sendiri;1;unemp/tidak terampil non res;1;tidak;ya;buruk
tidak ada pemeriksaan;12;berbayar yang ada;bisnis;1542;<100;4;2;pria lajang;tidak ada;4;mobil;36;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;mobil bekas;3850;<100;4;3;pria lajang;tidak ada;1;mobil;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;18;berbayar yang ada;perabot/perlengkapan;3650;<100;<1;1;wanita bercerai/menikah;tidak ada;4;mobil;22;tidak ada;sewa;1;terampil;1;tidak;ya;baik
<0;36;berbayar yang ada;perabot/perlengkapan;3446;<100;>=7;4;pria lajang;tidak ada;2;mobil;42;tidak ada;milik sendiri;1;terampil;2;tidak;ya;buruk
0<=X<200;18;berbayar yang ada;perabot/perlengkapan;3001;<100;4;2;wanita bercerai/menikah;tidak ada;4;perumahan;40;tidak ada;sewa;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;mobil baru;3079;tidak diketahui;1;4;pria lajang;tidak ada;4;perumahan;36;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;radio/tv;6070;<100;>=7;3;pria lajang;tidak ada;4;mobil;33;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;10;kredit penting/kredit lainnya;perabot/perlengkapan;2146;<100;<1;1;wanita bercerai/menikah;tidak ada;3;perumahan;23;tidak ada;sewa;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;60;kredit penting/kredit lainnya;mobil baru;13756;tidak diketahui;>=7;2;pria lajang;tidak ada;4;tidak diketahui;63;bank;gratis;1;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;60;lunas seluruhnya;lainnya;14782;100;>=7;3;wanita bercerai/menikah;tidak ada;4;tidak diketahui;60;bank;gratis;2;kualifikasi tinggi;1;ya;ya;buruk
<0;48;lunas seluruhnya;bisnis;7685;<100;4;2;wanita bercerai/menikah;penjamin;4;mobil;37;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;18;sebelumnya tertunda;radio/tv;2320;<100;pengangguran;2;pria menikah/duda;tidak ada;3;perumahan;34;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;7;sebelumnya tertunda;radio/tv;846;tidak diketahui;>=7;3;pria lajang;tidak ada;4;tidak diketahui;36;tidak ada;gratis;1;terampil;1;tidak;ya;baik
0<=X<200;36;berbayar yang ada;mobil baru;14318;<100;>=7;4;pria lajang;tidak ada;2;tidak diketahui;57;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;6;kredit penting/kredit lainnya;mobil baru;362;100;1;4;wanita bercerai/menikah;tidak ada;4;mobil;52;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
<0;20;berbayar yang ada;perabot/perlengkapan;2212;tidak diketahui;4;4;pria lajang;tidak ada;4;mobil;39;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;18;berbayar yang ada;mobil bekas;12976;<100;pengangguran;3;wanita bercerai/menikah;tidak ada;4;tidak diketahui;38;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;22;berbayar yang ada;mobil baru;1283;tidak diketahui;4;4;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;25;tidak ada;sewa;1;terampil;1;tidak;ya;baik
>=200;12;berbayar yang ada;mobil baru;1330;<100;<1;4;pria lajang;tidak ada;1;perumahan;26;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;30;sebelumnya tertunda;bisnis;4272;100;1;2;pria lajang;tidak ada;2;asuransi jiwa;26;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;radio/tv;2238;<100;1;2;wanita bercerai/menikah;tidak ada;1;mobil;25;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;radio/tv;1126;tidak diketahui;<1;4;wanita bercerai/menikah;tidak ada;2;perumahan;21;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;18;kredit penting/kredit lainnya;perabot/perlengkapan;7374;<100;pengangguran;4;pria lajang;tidak ada;4;asuransi jiwa;40;toko;milik sendiri;2;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;15;kredit penting/kredit lainnya;bisnis;2326;500;1;2;pria lajang;tidak ada;4;mobil;27;bank;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;9;berbayar yang ada;bisnis;1449;<100;4;3;wanita bercerai/menikah;tidak ada;2;mobil;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;mobil baru;1820;<100;1;2;pria menikah/duda;tidak ada;2;asuransi jiwa;30;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;12;berbayar yang ada;perabot/perlengkapan;983;>=1000;<1;1;wanita bercerai/menikah;tidak ada;4;perumahan;19;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
<0;36;berbayar yang ada;mobil baru;3249;<100;4;2;pria lajang;tidak ada;4;tidak diketahui;39;bank;gratis;1;kualifikasi tinggi;2;ya;ya;baik
<0;6;kredit penting/kredit lainnya;radio/tv;1957;<100;4;1;wanita bercerai/menikah;tidak ada;4;mobil;31;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;9;kredit penting/kredit lainnya;perabot/perlengkapan;2406;<100;pengangguran;2;pria lajang;tidak ada;3;mobil;31;tidak ada;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
0<=X<200;39;sebelumnya tertunda;pendidikan;11760;100;4;2;pria lajang;tidak ada;3;tidak diketahui;32;tidak ada;sewa;1;terampil;1;ya;ya;baik
<0;12;berbayar yang ada;perabot/perlengkapan;2578;<100;pengangguran;3;wanita bercerai/menikah;tidak ada;4;tidak diketahui;55;tidak ada;gratis;1;kualifikasi tinggi;1;tidak;ya;baik
<0;36;kredit penting/kredit lainnya;perabot/perlengkapan;2348;<100;1;3;pria menikah/duda;tidak ada;2;asuransi jiwa;46;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
0<=X<200;12;berbayar yang ada;mobil baru;1223;<100;>=7;1;pria bercerai;tidak ada;1;perumahan;46;tidak ada;sewa;2;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;radio/tv;1516;>=1000;1;4;wanita bercerai/menikah;tidak ada;1;perumahan;43;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;radio/tv;1473;<100;<1;3;pria menikah/duda;tidak ada;4;perumahan;39;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;18;kredit penting/kredit lainnya;bisnis;1887;tidak diketahui;1;4;pria menikah/duda;tidak ada;4;perumahan;28;bank;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;sebelumnya tertunda;bisnis;8648;<100;<1;2;pria lajang;tidak ada;2;mobil;27;bank;milik sendiri;2;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;14;sebelumnya tertunda;mobil baru;802;<100;1;4;pria lajang;tidak ada;2;mobil;27;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
0<=X<200;18;sebelumnya tertunda;mobil baru;2899;tidak diketahui;>=7;4;pria lajang;tidak ada;4;mobil;43;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
0<=X<200;24;berbayar yang ada;radio/tv;2039;<100;<1;1;pria menikah/duda;tidak ada;1;asuransi jiwa;22;tidak ada;milik sendiri;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;mobil bekas;2197;tidak diketahui;4;4;pria lajang;tidak ada;4;mobil;43;tidak ada;milik sendiri;2;terampil;2;ya;ya;baik
<0;15;berbayar yang ada;radio/tv;1053;<100;<1;4;pria menikah/duda;tidak ada;2;perumahan;27;tidak ada;milik sendiri;1;terampil;1;tidak;tidak;baik
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;3235;500;>=7;3;pria bercerai;tidak ada;2;mobil;26;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
>=200;12;kredit penting/kredit lainnya;mobil baru;939;500;4;4;pria menikah/duda;tidak ada;2;perumahan;28;tidak ada;milik sendiri;3;terampil;1;ya;ya;buruk
0<=X<200;24;berbayar yang ada;radio/tv;1967;<100;>=7;4;wanita bercerai/menikah;tidak ada;4;mobil;20;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;33;kredit penting/kredit lainnya;mobil bekas;7253;<100;4;3;pria lajang;tidak ada;2;mobil;35;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;bisnis;2292;<100;pengangguran;4;pria lajang;tidak ada;2;mobil;42;toko;milik sendiri;2;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;10;berbayar yang ada;mobil baru;1597;500;1;3;pria lajang;tidak ada;2;tidak diketahui;40;tidak ada;sewa;1;tidak terampil;2;tidak;tidak;baik
<0;24;berbayar yang ada;mobil baru;1381;tidak diketahui;1;4;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;35;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;36;kredit penting/kredit lainnya;mobil bekas;5842;<100;>=7;2;pria lajang;tidak ada;2;asuransi jiwa;35;tidak ada;milik sendiri;2;terampil;2;ya;ya;baik
<0;12;berbayar yang ada;mobil baru;2579;<100;<1;4;pria lajang;tidak ada;1;perumahan;33;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;buruk
<0;18;sebelumnya tertunda;pendidikan;8471;tidak diketahui;1;1;wanita bercerai/menikah;tidak ada;2;mobil;23;tidak ada;sewa;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;21;berbayar yang ada;mobil baru;2782;500;4;1;wanita bercerai/menikah;tidak ada;2;mobil;31;bank;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;mobil baru;1042;tidak diketahui;1;4;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;33;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;15;berbayar yang ada;mobil baru;3186;>=1000;4;2;wanita bercerai/menikah;tidak ada;3;mobil;20;tidak ada;sewa;1;terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;mobil bekas;2028;tidak diketahui;1;4;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;12;kredit penting/kredit lainnya;mobil baru;958;<100;4;2;pria lajang;tidak ada;3;perumahan;47;tidak ada;milik sendiri;2;tidak terampil;2;tidak;ya;baik
tidak ada pemeriksaan;21;sebelumnya tertunda;perabot/perlengkapan;1591;100;4;4;pria lajang;tidak ada;3;perumahan;34;tidak ada;milik sendiri;2;kualifikasi tinggi;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;perabot/perlengkapan;2762;tidak diketahui;>=7;1;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;25;bank;milik sendiri;1;terampil;1;ya;ya;buruk
0<=X<200;18;berbayar yang ada;mobil bekas;2779;<100;1;1;pria menikah/duda;tidak ada;3;mobil;21;tidak ada;sewa;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;28;kredit penting/kredit lainnya;radio/tv;2743;<100;>=7;4;pria lajang;tidak ada;2;mobil;29;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;radio/tv;1149;>=1000;1;4;pria lajang;tidak ada;3;perumahan;46;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;9;berbayar yang ada;perabot/perlengkapan;1313;<100;>=7;1;pria lajang;tidak ada;4;mobil;20;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;18;kredit penting/kredit lainnya;perbaikan;1190;<100;pengangguran;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;55;tidak ada;gratis;3;unemp/tidak terampil non res;2;tidak;ya;buruk
tidak ada pemeriksaan;5;berbayar yang ada;bisnis;3448;<100;4;1;pria lajang;tidak ada;4;perumahan;74;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;24;berbayar yang ada;lainnya;11328;<100;1;2;pria lajang;pemohon bersama;3;mobil;29;bank;milik sendiri;2;kualifikasi tinggi;1;ya;ya;buruk
